Name,Handedness,Weight(kg),Height(cm),BMI,Batting Average,Home Runs
Bert Campaneris,R,70,160,27.34375,0.259,79
Jack Perconte,L,70,160,27.34375,0.27,2
Jake Wood,R,73,163,27.47562949,0.25,35
Pepe Frias,R,70,159,27.68877813,0.24,1
Don Mason,L,71,160,27.734375,0.205,3
Oscar Gamble,L,71,160,27.734375,0.265,200
John Donaldson,L,71,160,27.734375,0.238,4
Bud Harrelson,B,71,160,27.734375,0.236,7
Rennie Stennett,R,71,160,27.734375,0.274,41
Buddy Biancalana,B,71,160,27.734375,0.205,6
Dave Rosello,R,71,160,27.734375,0.236,10
Bobby Murcer,L,71,160,27.734375,0.277,252
Dick Tracewski,R,71,160,27.734375,0.213,8
Rey Quinones,R,71,160,27.734375,0.243,29
Marty Perez,R,71,160,27.734375,0.246,22
Ed Romero,R,71,160,27.734375,0.247,8
Larry Milbourne,B,72,161,27.77670615,0.254,11
Rafael Vasquez,R,72,160,28.125,0,0
Derrel Thomas,B,72,160,28.125,0.249,43
Bob Dernier,R,72,160,28.125,0.255,23
Miguel Dilone,B,72,160,28.125,0.265,6
Rodney Scott,B,72,160,28.125,0.236,3
Doug Griffin,R,72,160,28.125,0.245,7
Al Weis,B,72,160,28.125,0.219,7
Dick Howser,R,68,155,28.30385016,0.248,16
Enzo Hernandez,R,68,155,28.30385016,0.224,2
Fred Norman,B,68,155,28.30385016,0.125,0
Pepe Mangual,R,70,157,28.398718,0.242,16
Tony Ferreira,L,73,160,28.515625,0,0
Cesar Tovar,R,69,155,28.72008325,0.278,46
Cesar Gutierrez,R,69,155,28.72008325,0.235,0
Dal Maxvill,R,71,157,28.80441397,0.217,6
Win Remmerswaal,R,74,160,28.90625,0,0
Ben Oglivie,L,74,160,28.90625,0.273,235
Bill Voss,L,74,160,28.90625,0.227,19
Alan Wiggins,B,74,160,28.90625,0.259,5
Larry Bowa,B,70,155,29.13631634,0.26,15
Ramon Pena,R,70,155,29.13631634,0,0
Mario Guerrero,R,70,155,29.13631634,0.257,7
Andre Robertson,R,70,155,29.13631634,0.251,5
Jerry Morales,R,70,155,29.13631634,0.259,95
Mike Edwards,R,70,154,29.51593861,0.25,2
Domingo Ramos,R,70,154,29.51593861,0.24,8
Francisco Barrios,R,71,155,29.55254943,0,0
Albert Hall,B,71,155,29.55254943,0.251,5
Ron Washington,R,71,155,29.55254943,0.261,20
Freddie Patek,R,65,148,29.67494522,0.242,41
Vic Davalillo,L,67,150,29.77777778,0.279,36
Frank Taveras,R,72,155,29.96878252,0.255,2
Glenn Hubbard,R,69,150,30.66666667,0.244,70
Larry Lintz,B,69,150,30.66666667,0.227,0
Sonny Jackson,L,69,150,30.66666667,0.251,7
Gil Garrido,R,69,150,30.66666667,0.237,1
Luis Gomez,R,69,150,30.66666667,0.21,0
Dave Concepcion,R,74,155,30.8012487,0.267,101
Jose Cardenal,R,70,150,31.11111111,0.275,138
Curt Ford,L,70,150,31.11111111,0.245,7
Juan Beniquez,R,71,150,31.55555556,0.274,79
Leo Cardenas,R,71,150,31.55555556,0.257,118
Ramon Manon,R,72,150,32,0,0
Manny Trillo,R,73,150,32.44444444,0.263,61
Sandy Alomar,B,69,140,35.20408163,0.245,13
